Material,Texture ID 1,Texture ID 2,R,G,B,A
foil,rbxassetid://7546645012,rbxassetid://7546645118,255,255,255,255
brick,rbxassetid://7546650097,rbxassetid://7546645118,204,201,200,232
cobblestone,rbxassetid://7546652947,rbxassetid://7546645118,212,200,187,250
concrete,rbxassetid://7546653951,rbxassetid://7546654144,208,208,208,255
diamondplate,rbxassetid://7547162198,rbxassetid://7546645118,170,170,170,255
fabric,rbxassetid://7547101130,rbxassetid://7546645118,105,104,102,244
glass,rbxassetid://7547304948,rbxassetid://7546645118,254,254,254,7
granite,rbxassetid://7547164710,rbxassetid://7546645118,113,113,113,255
grass,rbxassetid://7547169285,rbxassetid://7546645118,165,165,159,255
ice,rbxassetid://7547171356,rbxassetid://7546645118,255,255,255,255
marble,rbxassetid://7547177270,rbxassetid://7546645118,199,199,199,255
metal,rbxassetid://7547288171,rbxassetid://7546645118,199,199,199,255
pebble,rbxassetid://7547291361,rbxassetid://7546645118,208,208,208,255
corrodedmetal,rbxassetid://7547184629,rbxassetid://7546645118,159,119,95,200
sand,rbxassetid://7547295153,rbxassetid://7546645118,220,220,220,255
slate,rbxassetid://7547298114,rbxassetid://7547298323,193,193,193,255
wood,rbxassetid://7547303225,rbxassetid://7547298786,227,227,227,255
woodplanks,rbxassetid://7547332968,rbxassetid://7546645118,212,209,203,255
asphalt,rbxassetid://9873267379,rbxassetid://9438410548,123,123,123,234
basalt,rbxassetid://9873270487,rbxassetid://9438413638,154,154,153,238
crackedlava,rbxassetid://9438582231,rbxassetid://9438453972,74,78,80,156
glacier,rbxassetid://9438851661,rbxassetid://9438453972,226,229,229,243
ground,rbxassetid://9439044431,rbxassetid://9438453972,114,114,112,240
leafygrass,rbxassetid://9873288083,rbxassetid://9438453972,121,117,113,234
limestone,rbxassetid://9873289812,rbxassetid://9438453972,235,234,230,250
mud,rbxassetid://9873319819,rbxassetid://9438453972,130,130,130,252
pavement,rbxassetid://9873322398,rbxassetid://9438453972,142,142,144,236
rock,rbxassetid://9873515198,rbxassetid://9438453972,154,154,154,248
salt,rbxassetid://9439566986,rbxassetid://9438453972,220,220,221,255
sandstone,rbxassetid://9873521380,rbxassetid://9438453972,174,171,169,246
snow,rbxassetid://9439632387,rbxassetid://9438453972,218,218,218,255
