diagonal_blocks/0/block/0,diagonal_blocks/0/block/1,diagonal_blocks/0/block/2,diagonal_blocks/0/block/3,diagonal_blocks/0/block/4,diagonal_blocks/0/block/5,diagonal_blocks/0/block/6,diagonal_blocks/0/block/7,diagonal_blocks/0/block/8,diagonal_blocks/0/block/9,diagonal_blocks/0/block/10,diagonal_blocks/0/block/11,diagonal_blocks/0/block/12,diagonal_blocks/0/block/13,diagonal_blocks/0/block/14,diagonal_blocks/0/block/15,diagonal_blocks/0/block/16,diagonal_blocks/0/block/17,diagonal_blocks/0/block/18,diagonal_blocks/0/block/19,diagonal_blocks/0/block/20,diagonal_blocks/0/block_idx,linear_iterations,newton_iteration,newton_residual/angular,newton_residual/linear,preconditioner,rhs/0,rhs/1,rhs/2,rhs/3,rhs/4,rhs/5,solution/0,solution/1,solution/2,solution/3,solution/4,solution/5,stage,status,system_size,relative_residuals/0,relative_residuals/1,relative_residuals/2,relative_residuals/3,relative_residuals/4
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499209,1.476615,0,0,0,-0.2335935,0.4414711,9.656097,0,0,0,0.000005155235,0.000001502075,100,0.000001702167,0.000008138021,-0.000002200457,-0.0000381858,3.322236e-8,-0.00002951137,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499209,1.476615,0,0,0,-0.2335935,0.4414711,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499213,1.476615,0,0,0,-0.2335935,0.4414717,9.656097,0,4,0,0.00001239038,0.000001502075,100,0.000001702167,0.000008138021,-0.000002200457,-0.00009177809,8.08177e-8,-0.00007092897,2.972866e-7,0.00000142132,-3.84314e-7,-0.000009799308,-4.669172e-10,-0.000007582548,velocity,Success,6,1,0.02869677,0.0004976154,0.00006791763,1.369686e-8
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499213,1.476615,0,0,0,-0.2335935,0.4414717,9.656097,0,0,1,1.442002e-12,2.343714e-13,100,3.25467e-13,1.301868e-12,0,-1.295496e-11,4.344089e-13,-4.025232e-12,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499213,1.476615,0,0,0,-0.2335935,0.4414717,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499207,1.476615,0,0,0,-0.2335935,0.4414709,9.656097,0,0,0,5.899133e-9,0.000001157338,100,-0.000001578875,-0.000006103516,0.000002040901,4.35252e-8,4.20827e-10,3.38616e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499207,1.476615,0,0,0,-0.2335935,0.4414709,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499202,1.476615,0,0,0,-0.2335935,0.4414702,9.656097,0,0,0,5.899132e-9,0.000001157338,100,-0.000001578875,-0.000006103516,0.000002040901,4.35252e-8,4.208178e-10,3.38616e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499202,1.476615,0,0,0,-0.2335935,0.4414702,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499196,1.476614,0,0,0,-0.2335935,0.4414694,9.656097,0,4,0,0.00001171215,0.000001157338,100,-0.000001578875,-0.000006103516,0.000002040901,0.00008675433,-7.6584e-8,0.0000670464,-2.757535e-7,-0.000001065991,3.564472e-7,0.000009262909,3.11291e-10,0.000007167494,velocity,Success,6,1,0.02342396,0.0004977089,0.00006705896,1.185096e-8
